,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
0,lexico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
1,semantico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
2,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0
3,semantico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
4,lexico,1,1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0
5,semantico,1,1.0,0.047619047619047616,0.0909090909090909,1.0,0.0,0.0,0,0,1.0,0.047619047619047616,0.0909090909090909,1.0,1.0,0.047619047619047616,0.0909090909090909,1.0
6,lexico,1,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,0.0,0.0,0,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0
7,semantico,1,1.0,0.045454545454545456,0.08695652173913045,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0,0.0,0.0,0,1.0,1.0,0.045454545454545456,0.08695652173913045,1.0
8,lexico,1,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0,0.0,0.0,0,0,1.0,0.03125,0.06060606060606061,1.0
9,semantico,1,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0,1.0,0.03125,0.06060606060606061,1.0
10,lexico,1,0.0,0.0,0,1.0,1.0,0.02127659574468085,0.04166666666666667,1.0,1.0,0.02127659574468085,0.04166666666666667,1.0,0.0,0.0,0,1.0
11,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
12,lexico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0
13,semantico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
14,lexico,1,1.0,0.07142857142857142,0.13333333333333333,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.07142857142857142,0.13333333333333333,1.0
15,semantico,1,0.0,0.0,0,1.0,1.0,0.07142857142857142,0.13333333333333333,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
16,lexico,1,0.0,0.0,0,1.0,1.0,0.038461538461538464,0.07407407407407407,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
17,semantico,1,0.0,0.0,0,1.0,1.0,0.038461538461538464,0.07407407407407407,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
18,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
19,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
20,lexico,1,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
21,semantico,1,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
22,lexico,1,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
23,semantico,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
24,lexico,1,0.0,0.0,0,1.0,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0
25,semantico,1,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.14285714285714285,0.25,1.0
26,lexico,1,0.0,0.0,0,1.0,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
27,semantico,1,1.0,0.14285714285714285,0.25,1.0,0.0,0.0,0,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0
28,lexico,1,1.0,0.02127659574468085,0.04166666666666667,1.0,0.0,0.0,0,1.0,1.0,0.02127659574468085,0.04166666666666667,1.0,1.0,0.02127659574468085,0.04166666666666667,1.0
29,semantico,1,1.0,0.02127659574468085,0.04166666666666667,1.0,0.0,0.0,0,0,1.0,0.02127659574468085,0.04166666666666667,1.0,1.0,0.02127659574468085,0.04166666666666667,1.0
30,lexico,1,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
31,semantico,1,1.0,0.25,0.4,1.0,0.0,0.0,0,0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
32,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0
33,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
34,lexico,1,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
35,semantico,1,1.0,0.2,0.33333333333333337,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0.2,0.33333333333333337,1.0
36,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
37,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
38,lexico,1,1.0,0.07692307692307693,0.14285714285714288,1.0,0.0,0.0,0,0,1.0,0.07692307692307693,0.14285714285714288,1.0,1.0,0.07692307692307693,0.14285714285714288,1.0
39,semantico,1,1.0,0.07692307692307693,0.14285714285714288,1.0,0.0,0.0,0,0,1.0,0.07692307692307693,0.14285714285714288,1.0,1.0,0.07692307692307693,0.14285714285714288,1.0
40,lexico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,0.0,0.0,0,0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
41,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
42,lexico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,0.0,0.0,0,0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
43,semantico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,0.0,0.0,0,0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
44,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0
45,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0
46,lexico,1,1.0,0.05,0.09523809523809523,1.0,1.0,0.05,0.09523809523809523,1.0,0.0,0.0,0,1.0,1.0,0.05,0.09523809523809523,1.0
47,semantico,1,1.0,0.05,0.09523809523809523,1.0,1.0,0.05,0.09523809523809523,1.0,1.0,0.05,0.09523809523809523,1.0,1.0,0.05,0.09523809523809523,1.0
48,lexico,1,0.0,0.0,0,1.0,1.0,0.25,0.4,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
49,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
50,lexico,1,1.0,0.058823529411764705,0.1111111111111111,1.0,0.0,0.0,0,0,1.0,0.058823529411764705,0.1111111111111111,1.0,1.0,0.058823529411764705,0.1111111111111111,1.0
51,semantico,1,1.0,0.058823529411764705,0.1111111111111111,1.0,0.0,0.0,0,0,1.0,0.058823529411764705,0.1111111111111111,1.0,1.0,0.058823529411764705,0.1111111111111111,1.0
52,lexico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
53,semantico,1,1.0,0.08333333333333333,0.15384615384615385,1.0,0.0,0.0,0,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
54,lexico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
55,semantico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
56,lexico,1,1.0,0.024390243902439025,0.047619047619047616,1.0,0.0,0.0,0,0,1.0,0.024390243902439025,0.047619047619047616,1.0,1.0,0.024390243902439025,0.047619047619047616,1.0
57,semantico,1,1.0,0.024390243902439025,0.047619047619047616,1.0,0.0,0.0,0,0,1.0,0.024390243902439025,0.047619047619047616,1.0,1.0,0.024390243902439025,0.047619047619047616,1.0
58,lexico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
59,semantico,1,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0
60,lexico,1,1.0,0.25,0.4,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.25,0.4,1.0
61,semantico,1,1.0,0.25,0.4,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0.25,0.4,1.0
62,lexico,1,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0
63,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
64,lexico,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
65,semantico,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
66,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
67,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
68,lexico,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
69,semantico,1,1.0,0.2,0.33333333333333337,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.2,0.33333333333333337,1.0
70,lexico,1,0.0,0.0,0,1.0,1.0,0.07692307692307693,0.14285714285714288,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
71,semantico,1,1.0,0.07692307692307693,0.14285714285714288,1.0,1.0,0.07692307692307693,0.14285714285714288,1.0,0.0,0.0,0,1.0,1.0,0.07692307692307693,0.14285714285714288,1.0
72,lexico,1,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,0.05555555555555555,0.10526315789473684,1.0,0.0,0.0,0,1.0,1.0,0.05555555555555555,0.10526315789473684,1.0
73,semantico,1,1.0,0.05555555555555555,0.10526315789473684,1.0,1.0,0.05555555555555555,0.10526315789473684,1.0,0.0,0.0,0,1.0,1.0,0.05555555555555555,0.10526315789473684,1.0
74,lexico,1,1.0,0.05263157894736842,0.1,1.0,1.0,0.05263157894736842,0.1,1.0,0.0,0.0,0,0,1.0,0.05263157894736842,0.1,1.0
75,semantico,1,1.0,0.05263157894736842,0.1,1.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.05263157894736842,0.1,1.0
76,lexico,1,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0
77,semantico,1,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.14285714285714285,0.25,1.0
78,lexico,1,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0
79,semantico,1,0.0,0.0,0,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,0.0,0.0,0,1.0
80,lexico,1,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0
81,semantico,1,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,0.0,0.0,0,1.0,1.0,0.1,0.18181818181818182,1.0
82,lexico,1,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0
83,semantico,1,1.0,0.1111111111111111,0.19999999999999998,1.0,0.0,0.0,0,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0
84,lexico,1,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0,1.0,0.1,0.18181818181818182,1.0
85,semantico,1,1.0,0.1,0.18181818181818182,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0.1,0.18181818181818182,1.0
86,lexico,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0
87,semantico,1,1.0,0.125,0.2222222222222222,1.0,1.0,0.125,0.2222222222222222,1.0,0.0,0.0,0,0,1.0,0.125,0.2222222222222222,1.0
88,lexico,1,1.0,0.041666666666666664,0.07999999999999999,1.0,1.0,0.041666666666666664,0.07999999999999999,1.0,1.0,0.041666666666666664,0.07999999999999999,1.0,0.0,0.0,0,0
89,semantico,1,1.0,0.041666666666666664,0.07999999999999999,1.0,0.0,0.0,0,1.0,1.0,0.041666666666666664,0.07999999999999999,1.0,0.0,0.0,0,0
90,lexico,1,1.0,0.023255813953488372,0.04545454545454545,1.0,1.0,0.023255813953488372,0.04545454545454545,1.0,0.0,0.0,0,0,0.0,0.0,0,0
91,semantico,1,0.0,0.0,0,1.0,1.0,0.023255813953488372,0.04545454545454545,1.0,0.0,0.0,0,0,0.0,0.0,0,0
92,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0
93,semantico,1,1.0,0.2,0.33333333333333337,1.0,0.0,0.0,0,0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
94,lexico,1,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
95,semantico,1,1.0,0.25,0.4,1.0,0.0,0.0,0,0,1.0,0.25,0.4,1.0,1.0,0.25,0.4,1.0
96,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
97,semantico,1,0.0,0.0,0,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
98,lexico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
99,semantico,1,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
0,lexico,2,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
1,semantico,2,0.5,0.08333333333333333,0.14285714285714285,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.5,0.08333333333333333,0.14285714285714285,1.0,0.5,0.08333333333333333,0.14285714285714285,1.0
2,lexico,2,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1.0
3,semantico,2,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0,0,0.5,0.08333333333333333,0.14285714285714285,1.0,1.0,0.16666666666666666,0.2857142857142857,1.0
4,lexico,2,1.0,0.09523809523809523,0.17391304347826084,1.0,1.0,0.09523809523809523,0.17391304347826084,1.0,1.0,0.09523809523809523,0.17391304347826084,1.0,1.0,0.09523809523809523,0.17391304347826084,1.0
5,semantico,2,1.0,0.09523809523809523,0.17391304347826084,1.0,0.0,0.0,0,0,1.0,0.09523809523809523,0.17391304347826084,1.0,1.0,0.09523809523809523,0.17391304347826084,1.0
6,lexico,2,0.5,0.045454545454545456,0.08333333333333334,1.0,0.5,0.045454545454545456,0.08333333333333334,1.0,0.5,0.045454545454545456,0.08333333333333334,0.7967075809905066,0.5,0.045454545454545456,0.08333333333333334,1.0
7,semantico,2,1.0,0.09090909090909091,0.16666666666666669,1.0,1.0,0.09090909090909091,0.16666666666666669,1.0,0.5,0.045454545454545456,0.08333333333333334,0.7967075809905066,1.0,0.09090909090909091,0.16666666666666669,1.0
8,lexico,2,1.0,0.0625,0.11764705882352941,1.0,0.5,0.03125,0.058823529411764705,1.0,0.0,0.0,0,0,1.0,0.0625,0.11764705882352941,1.0
9,semantico,2,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0,1.0,0.0625,0.11764705882352941,1.0
10,lexico,2,0.0,0.0,0,1.0,0.5,0.02127659574468085,0.04081632653061224,1.0,0.5,0.02127659574468085,0.04081632653061224,1.0,0.0,0.0,0,1.0
11,semantico,2,0.0,0.0,0,1.0,0.5,0.02127659574468085,0.04081632653061224,0.6309297535714574,0.0,0.0,0,1.0,0.5,0.02127659574468085,0.04081632653061224,0.7967075809905066
12,lexico,2,0.5,0.08333333333333333,0.14285714285714285,1.0,0.0,0.0,0,0,0.0,0.0,0,0,0.5,0.08333333333333333,0.14285714285714285,1.0
